"dataset","source_column","key","unique_values"
"GSE15222",NA,"""""GENDER_male,AGE_78,PMI_6,TRANSDET_WHOLE_0.484,TRANSDET_CORTEX_0.829,HYBDATE_2.22.2006,BRAINBANK_L""""",""
"GSE15222",NA,"""""GENDER_male,AGE_79,PMI_1.66,TRANSDET_WHOLE_0.445,TRANSDET_CORTEX_0.765,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_79,PMI_3,TRANSDET_WHOLE_0.504,TRANSDET_CORTEX_0.864,HYBDATE_9.7.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_79,PMI_9,TRANSDET_WHOLE_0.494,TRANSDET_CORTEX_0.85,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_80,PMI_22,TRANSDET_WHOLE_0.487,TRANSDET_CORTEX_0.841,HYBDATE_2.22.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_male,AGE_80,PMI_8,TRANSDET_WHOLE_0.402,TRANSDET_CORTEX_0.694,HYBDATE_8.31.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_80,PMI_unknown,TRANSDET_WHOLE_0.4,TRANSDET_CORTEX_0.689,HYBDATE_8.31.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_81,PMI_14,TRANSDET_WHOLE_0.46,TRANSDET_CORTEX_0.794,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_81,PMI_2.75,TRANSDET_WHOLE_0.468,TRANSDET_CORTEX_0.808,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_81,PMI_3.25,TRANSDET_WHOLE_0.473,TRANSDET_CORTEX_0.817,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_81,PMI_4.25,TRANSDET_WHOLE_0.379,TRANSDET_CORTEX_0.653,HYBDATE_9.13.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_81,PMI_6,TRANSDET_WHOLE_0.421,TRANSDET_CORTEX_0.726,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_81,PMI_7.24,TRANSDET_WHOLE_0.354,TRANSDET_CORTEX_0.611,HYBDATE_9.13.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_82,PMI_2.1,TRANSDET_WHOLE_0.493,TRANSDET_CORTEX_0.85,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_male,AGE_82,PMI_23,TRANSDET_WHOLE_0.494,TRANSDET_CORTEX_0.84,HYBDATE_9.7.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_male,AGE_82,PMI_8.75,TRANSDET_WHOLE_0.429,TRANSDET_CORTEX_0.738,HYBDATE_9.13.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_82,PMI_unknown,TRANSDET_WHOLE_0.468,TRANSDET_CORTEX_0.808,HYBDATE_6.22.2006,BRAINBANK_B""""",""
"GSE15222",NA,"""""GENDER_male,AGE_83,PMI_28,TRANSDET_WHOLE_0.446,TRANSDET_CORTEX_0.769,HYBDATE_9.7.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_83,PMI_3.16,TRANSDET_WHOLE_0.486,TRANSDET_CORTEX_0.833,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_83,PMI_5.5,TRANSDET_WHOLE_0.47,TRANSDET_CORTEX_0.811,HYBDATE_8.31.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_83,PMI_unknown,TRANSDET_WHOLE_0.459,TRANSDET_CORTEX_0.786,HYBDATE_6.27.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_84,PMI_16.5,TRANSDET_WHOLE_0.442,TRANSDET_CORTEX_0.757,HYBDATE_6.15.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_84,PMI_2,TRANSDET_WHOLE_0.464,TRANSDET_CORTEX_0.798,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_84,PMI_6,TRANSDET_WHOLE_0.399,TRANSDET_CORTEX_0.688,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_85,PMI_2,TRANSDET_WHOLE_0.456,TRANSDET_CORTEX_0.78,HYBDATE_9.7.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_85,PMI_2.5,TRANSDET_WHOLE_0.367,TRANSDET_CORTEX_0.633,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_85,PMI_3.16,TRANSDET_WHOLE_0.484,TRANSDET_CORTEX_0.836,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_85,PMI_9.5,TRANSDET_WHOLE_0.423,TRANSDET_CORTEX_0.729,HYBDATE_3.9.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_male,AGE_86,PMI_2.5,TRANSDET_WHOLE_0.474,TRANSDET_CORTEX_0.817,HYBDATE_8.31.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_86,PMI_20,TRANSDET_WHOLE_0.434,TRANSDET_CORTEX_0.75,HYBDATE_9.7.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_male,AGE_86,PMI_3,TRANSDET_WHOLE_0.434,TRANSDET_CORTEX_0.749,HYBDATE_6.27.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_86,PMI_7,TRANSDET_WHOLE_0.445,TRANSDET_CORTEX_0.769,HYBDATE_3.9.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_male,AGE_86,PMI_7.8,TRANSDET_WHOLE_0.43,TRANSDET_CORTEX_0.743,HYBDATE_6.27.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_male,AGE_87,PMI_2,TRANSDET_WHOLE_0.479,TRANSDET_CORTEX_0.826,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_male,AGE_87,PMI_3.5,TRANSDET_WHOLE_0.46,TRANSDET_CORTEX_0.794,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_87,PMI_4,TRANSDET_WHOLE_0.367,TRANSDET_CORTEX_0.632,HYBDATE_6.8.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_male,AGE_88,PMI_10,TRANSDET_WHOLE_0.481,TRANSDET_CORTEX_0.829,HYBDATE_2.22.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_male,AGE_88,PMI_5,TRANSDET_WHOLE_0.485,TRANSDET_CORTEX_0.835,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_male,AGE_89,PMI_30,TRANSDET_WHOLE_0.466,TRANSDET_CORTEX_0.804,HYBDATE_3.9.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_male,AGE_90,PMI_6,TRANSDET_WHOLE_0.455,TRANSDET_CORTEX_0.783,HYBDATE_9.7.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_male,AGE_90,PMI_7,TRANSDET_WHOLE_0.463,TRANSDET_CORTEX_0.796,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_90,PMI_7.42,TRANSDET_WHOLE_0.465,TRANSDET_CORTEX_0.8,HYBDATE_9.7.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_91,PMI_16,TRANSDET_WHOLE_0.488,TRANSDET_CORTEX_0.835,HYBDATE_2.22.2006,BRAINBANK_R""""",""
"GSE15222",NA,"""""GENDER_male,AGE_91,PMI_7.68,TRANSDET_WHOLE_0.49,TRANSDET_CORTEX_0.839,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_94,PMI_2,TRANSDET_WHOLE_0.443,TRANSDET_CORTEX_0.764,HYBDATE_6.27.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_94,PMI_2,TRANSDET_WHOLE_0.454,TRANSDET_CORTEX_0.784,HYBDATE_8.31.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_94,PMI_4.75,TRANSDET_WHOLE_0.449,TRANSDET_CORTEX_0.773,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_96,PMI_5.5,TRANSDET_WHOLE_0.474,TRANSDET_CORTEX_0.817,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_96,PMI_6,TRANSDET_WHOLE_0.483,TRANSDET_CORTEX_0.829,HYBDATE_2.22.2006,BRAINBANK_K""""",""
"GSE15222",NA,"""""GENDER_male,AGE_97,PMI_7,TRANSDET_WHOLE_0.475,TRANSDET_CORTEX_0.817,HYBDATE_3.9.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""tissue","Alzheimer's Disease frozen cortical tissue"""""
"GSE29378",NA,"""""subjectnumber","4147"""" | 1385"""" | 3795"""" | 1761"""" | 704"""" | 1013"""" | 3740"""" | 1716"""" | 4125"""" | 1440"""" | 1388"""" | 1580"""" | 1167"""" | 881"""" | 1294"""" | 1731"""" | 1064"""" | 993"""" | 1720"""" | 962"""" | 588"""" | 4155"""" | 4159"""" | 1376"""" | 862"""" | 1380"""" | 1673"""" | 3777"""" | 827"""" | 926"""" | 4152"""" | 3912"""" | 4098"""""
"GSE33000",NA,"""""tissue","prefrontal cortex brain"""""
"GSE36980",NA,"""""tissue","Frontal cortex"""" | Temporal cortex"""" | Hippocampus"""""
"GSE44770",NA,"""""age","NA"""""
"GSE48350",NA,"""""gender","female"""" | male"""""
"GSE48350",NA,"""""individual","10, C"""" | 105, C"""" | 106, C"""" | 108, C"""" | 109, C"""" | 111, C"""" | 12, AA"""" | 14, C"""" | 15, C"""" | 16-07, C"""" | 17, C"""" | 18, C"""" | 2, C"""" | 21, C"""" | 26, C"""" | 27, C"""" | 28, C"""" | 29, C"""" | 30, C"""" | 34, C"""" | 35, AA"""" | 38, C"""" | 40, C"""" | 40-04, C"""" | 42, C"""" | 45, C"""" | 46, C"""" | 47, C"""" | 52, C"""" | 53, C"""" | 54, C"""" | 59, C"""" | 66, C"""" | 67, C"""" | 68, C"""" | 71, C"""" | 72, C"""" | 73, C"""" | 76, C"""" | 77, C"""" | 78, C"""" | 79, AA"""" | 8, C"""" | 80, AA"""" | 81, AA"""" | 82, AA"""" | 83, C"""" | 84, AA"""" | 85, C"""" | 86, AA"""" | 87, C"""" | 88, AA"""" | 93, C"""" | 94, C"""" | 96, C"""" | 98, C"""" | 63, C"""""
"GSE5281",NA,"""""Sample Amount","10 ug"""" | 10 ng"""""
"GSE5281",NA,"""""sample amount","10 ug"""" | 10 ng"""""
"GSE66351",NA,"""""cell type","Glia"""" | Neuron"""" | bulk"""""
"GSE97760",NA,"""""tissue","whole blood"""""
