"dataset","source_column","key","unique_values"
"GSE15222",NA,"""""GENDER_female,AGE_80,PMI_8,TRANSDET_WHOLE_0.468,TRANSDET_CORTEX_0.807,HYBDATE_2.22.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_female,AGE_81,PMI_1.17,TRANSDET_WHOLE_0.484,TRANSDET_CORTEX_0.831,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_female,AGE_81,PMI_3,TRANSDET_WHOLE_0.476,TRANSDET_CORTEX_0.82,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_female,AGE_82,PMI_2,TRANSDET_WHOLE_0.474,TRANSDET_CORTEX_0.813,HYBDATE_9.13.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_female,AGE_82,PMI_25,TRANSDET_WHOLE_0.453,TRANSDET_CORTEX_0.779,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_female,AGE_82,PMI_8.12,TRANSDET_WHOLE_0.45,TRANSDET_CORTEX_0.773,HYBDATE_9.7.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_female,AGE_83,PMI_28.17,TRANSDET_WHOLE_0.355,TRANSDET_CORTEX_0.612,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_female,AGE_83,PMI_3.25,TRANSDET_WHOLE_0.411,TRANSDET_CORTEX_0.71,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_female,AGE_83,PMI_4.75,TRANSDET_WHOLE_0.492,TRANSDET_CORTEX_0.846,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_1.66,TRANSDET_WHOLE_0.471,TRANSDET_CORTEX_0.795,HYBDATE_9.7.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_11,TRANSDET_WHOLE_0.471,TRANSDET_CORTEX_0.813,HYBDATE_2.22.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_2.25,TRANSDET_WHOLE_0.37,TRANSDET_CORTEX_0.637,HYBDATE_9.13.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_2.75,TRANSDET_WHOLE_0.403,TRANSDET_CORTEX_0.695,HYBDATE_8.31.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_21,TRANSDET_WHOLE_0.486,TRANSDET_CORTEX_0.835,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_21.3,TRANSDET_WHOLE_0.445,TRANSDET_CORTEX_0.765,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_3.5,TRANSDET_WHOLE_0.384,TRANSDET_CORTEX_0.656,HYBDATE_6.8.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_4,TRANSDET_WHOLE_0.462,TRANSDET_CORTEX_0.796,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_4.58,TRANSDET_WHOLE_0.491,TRANSDET_CORTEX_0.843,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_female,AGE_85,PMI_5,TRANSDET_WHOLE_0.442,TRANSDET_CORTEX_0.762,HYBDATE_6.27.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_10,TRANSDET_WHOLE_0.429,TRANSDET_CORTEX_0.738,HYBDATE_8.31.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_11,TRANSDET_WHOLE_0.511,TRANSDET_CORTEX_0.87,HYBDATE_6.15.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_15.75,TRANSDET_WHOLE_0.494,TRANSDET_CORTEX_0.847,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_2.25,TRANSDET_WHOLE_0.518,TRANSDET_CORTEX_0.886,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_2.58,TRANSDET_WHOLE_0.477,TRANSDET_CORTEX_0.822,HYBDATE_6.27.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_3,TRANSDET_WHOLE_0.449,TRANSDET_CORTEX_0.773,HYBDATE_8.31.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_3.75,TRANSDET_WHOLE_0.49,TRANSDET_CORTEX_0.845,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_8.5,TRANSDET_WHOLE_0.429,TRANSDET_CORTEX_0.74,HYBDATE_6.27.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_female,AGE_86,PMI_9.5,TRANSDET_WHOLE_0.479,TRANSDET_CORTEX_0.823,HYBDATE_6.27.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_female,AGE_87,PMI_15,TRANSDET_WHOLE_0.442,TRANSDET_CORTEX_0.761,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_87,PMI_23.25,TRANSDET_WHOLE_0.41,TRANSDET_CORTEX_0.707,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_87,PMI_3,TRANSDET_WHOLE_0.462,TRANSDET_CORTEX_0.796,HYBDATE_9.7.2006,BRAINBANK_B""""",""
"GSE15222",NA,"""""GENDER_female,AGE_87,PMI_3,TRANSDET_WHOLE_0.489,TRANSDET_CORTEX_0.84,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_88,PMI_16,TRANSDET_WHOLE_0.407,TRANSDET_CORTEX_0.704,HYBDATE_6.27.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_88,PMI_2.5,TRANSDET_WHOLE_0.456,TRANSDET_CORTEX_0.784,HYBDATE_2.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_female,AGE_88,PMI_5,TRANSDET_WHOLE_0.417,TRANSDET_CORTEX_0.716,HYBDATE_8.31.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_female,AGE_88,PMI_9,TRANSDET_WHOLE_0.422,TRANSDET_CORTEX_0.724,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_89,PMI_8,TRANSDET_WHOLE_0.505,TRANSDET_CORTEX_0.866,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_female,AGE_89,PMI_unknown,TRANSDET_WHOLE_0.398,TRANSDET_CORTEX_0.685,HYBDATE_6.8.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_female,AGE_91,PMI_4,TRANSDET_WHOLE_0.418,TRANSDET_CORTEX_0.72,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_female,AGE_91,PMI_4.42,TRANSDET_WHOLE_0.399,TRANSDET_CORTEX_0.683,HYBDATE_2.22.2006,BRAINBANK_O""""",""
"GSE15222",NA,"""""GENDER_female,AGE_91,PMI_4.67,TRANSDET_WHOLE_0.415,TRANSDET_CORTEX_0.71,HYBDATE_6.27.2006,BRAINBANK_O""""",""
"GSE15222",NA,"""""GENDER_female,AGE_91,PMI_5.25,TRANSDET_WHOLE_0.43,TRANSDET_CORTEX_0.733,HYBDATE_2.22.2006,BRAINBANK_O""""",""
"GSE15222",NA,"""""GENDER_female,AGE_91,PMI_8,TRANSDET_WHOLE_0.513,TRANSDET_CORTEX_0.876,HYBDATE_3.9.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_female,AGE_93,PMI_2.3,TRANSDET_WHOLE_0.483,TRANSDET_CORTEX_0.83,HYBDATE_2.22.2006,BRAINBANK_R""""",""
"GSE15222",NA,"""""GENDER_female,AGE_93,PMI_2.75,TRANSDET_WHOLE_0.476,TRANSDET_CORTEX_0.816,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_female,AGE_94,PMI_4.5,TRANSDET_WHOLE_0.397,TRANSDET_CORTEX_0.679,HYBDATE_2.22.2006,BRAINBANK_O""""",""
"GSE15222",NA,"""""GENDER_female,AGE_94,PMI_9.75,TRANSDET_WHOLE_0.487,TRANSDET_CORTEX_0.84,HYBDATE_9.7.2006,BRAINBANK_B""""",""
"GSE15222",NA,"""""GENDER_female,AGE_95,PMI_10.08,TRANSDET_WHOLE_0.469,TRANSDET_CORTEX_0.795,HYBDATE_2.22.2006,BRAINBANK_O""""",""
"GSE15222",NA,"""""GENDER_female,AGE_95,PMI_14,TRANSDET_WHOLE_0.434,TRANSDET_CORTEX_0.744,HYBDATE_9.7.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_female,AGE_95,PMI_5.75,TRANSDET_WHOLE_0.436,TRANSDET_CORTEX_0.741,HYBDATE_2.22.2006,BRAINBANK_O""""",""
"GSE15222",NA,"""""GENDER_female,AGE_96,PMI_5,TRANSDET_WHOLE_0.421,TRANSDET_CORTEX_0.723,HYBDATE_6.8.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_female,AGE_97,PMI_12,TRANSDET_WHOLE_0.489,TRANSDET_CORTEX_0.84,HYBDATE_2.22.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_97,PMI_2.75,TRANSDET_WHOLE_0.444,TRANSDET_CORTEX_0.766,HYBDATE_9.13.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_female,AGE_97,PMI_4,TRANSDET_WHOLE_0.437,TRANSDET_CORTEX_0.747,HYBDATE_9.7.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_female,AGE_97,PMI_9.5,TRANSDET_WHOLE_0.42,TRANSDET_CORTEX_0.726,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_99,PMI_3.5,TRANSDET_WHOLE_0.469,TRANSDET_CORTEX_0.807,HYBDATE_6.27.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_99,PMI_36,TRANSDET_WHOLE_0.437,TRANSDET_CORTEX_0.753,HYBDATE_2.22.2006,BRAINBANK_L""""",""
"GSE15222",NA,"""""GENDER_female,AGE_99,PMI_5.25,TRANSDET_WHOLE_0.439,TRANSDET_CORTEX_0.757,HYBDATE_6.27.2006,BRAINBANK_G""""",""
