"vdac1_expression","sample_id"
10.2559184335317,"GSM2973262"
10.7775925760811,"GSM2973263"
10.6710672904515,"GSM2973264"
10.549005648561,"GSM2973265"
11.362620189345,"GSM2973266"
10.3022935361296,"GSM2973267"
11.178478633819,"GSM2973268"
9.56983507414369,"GSM2973269"
9.48860494211428,"GSM2973270"
9.96243308212276,"GSM2973271"
11.259583717264,"GSM2973272"
10.9026357803109,"GSM2973273"
9.74500819053224,"GSM2973274"
9.96080968669733,"GSM2973275"
9.46055833937005,"GSM2973276"
9.99720516673638,"GSM2973277"
9.95354267422572,"GSM2973278"
11.0354069232076,"GSM2973279"
10.0217469902799,"GSM2973280"
9.7990485904507,"GSM2973281"
10.8686411461164,"GSM2973282"
11.174870246174,"GSM2973283"
11.4956925992527,"GSM2973284"
11.5436105607558,"GSM2973285"
11.5659116086936,"GSM2973286"
10.9975757282947,"GSM2973287"
12.2017305776585,"GSM2973288"
11.3602072190639,"GSM2973289"
11.3667690060111,"GSM2973290"
11.7419218351276,"GSM2973291"
10.9299525122934,"GSM2973292"
10.9957619798742,"GSM2973293"
11.7718104947261,"GSM2973294"
11.6243838124889,"GSM2973295"
11.0411982970884,"GSM2973296"
10.550165083453,"GSM2973297"
10.6994030577643,"GSM2973298"
10.7566258221351,"GSM2973299"
8.7390051695223,"GSM2973300"
11.4566001995146,"GSM2973301"
10.2933151789488,"GSM2973302"
11.0750098483894,"GSM2973303"
10.744736308059,"GSM2973304"
11.47360587128,"GSM2973305"
10.744736308059,"GSM2973306"
10.7090447027182,"GSM2973307"
11.2984773303801,"GSM2973308"
10.6308641636872,"GSM2973309"
9.80789638889243,"GSM2973310"
10.6994030577643,"GSM2973311"
10.7756394878966,"GSM2973312"
11.3273346487177,"GSM2973313"
10.3306216465548,"GSM2973314"
11.2781469152863,"GSM2973315"
11.6102634547863,"GSM2973316"
11.3331366425878,"GSM2973317"
11.2404005103653,"GSM2973318"
10.6308641636872,"GSM2973319"
11.5812571277937,"GSM2973320"
11.6989474051457,"GSM2973321"
11.683294554059,"GSM2973322"
11.8276241266712,"GSM2973323"
11.7328394324213,"GSM2973324"
11.3499334876444,"GSM2973325"
10.9437219232769,"GSM2973326"
11.259583717264,"GSM2973327"
10.9720449896092,"GSM2973328"
11.9947995449694,"GSM2973329"
11.4617639952203,"GSM2973330"
12.109419475678,"GSM2973331"
11.3136660508812,"GSM2973332"
11.0593053211964,"GSM2973333"
11.5331397122578,"GSM2973334"
11.1073164216809,"GSM2973335"
10.6529869733654,"GSM2973336"
10.2128913047577,"GSM2973337"
11.9980847271881,"GSM2973338"
10.8466692127819,"GSM2973339"
