"sample_id","vdac1_expression"
"GSM3895951",10.00750832
"GSM3895952",10.03424352
"GSM3895953",10.51844392
"GSM3895954",11.14348682
"GSM3895955",11.90270229
"GSM3895956",10.91109593
"GSM3895957",11.23641874
"GSM3895958",11.07387541
"GSM3895959",11.67698483
"GSM3895960",11.65382234
"GSM3895961",11.53001526
"GSM3895962",11.28465081
"GSM3895963",11.16902385
"GSM3895964",10.52224925
"GSM3895965",11.34224671
"GSM3895966",11.46722714
"GSM3895967",11.21418541
"GSM3895968",11.29468094
"GSM3895969",11.51182347
"GSM3895970",12.18546257
"GSM3895971",11.99558082
"GSM3895972",11.36060392
"GSM3895973",10.12653141
"GSM3895974",11.49795143
"GSM3895975",11.20513111
"GSM3895976",11.10460318
"GSM3895977",11.20876491
"GSM3895978",11.47566738
"GSM3895979",11.2806525
"GSM3895980",11.39251391
"GSM3895981",10.69663333
"GSM3895982",11.82826824
"GSM3895983",10.58204232
"GSM3895984",11.36848241
"GSM3895985",11.98880829
"GSM3895986",11.4338748
"GSM3895987",10.70711788
"GSM3895988",10.86049496
"GSM3895989",11.3903207
"GSM3895990",11.55652113
"GSM3895991",11.69482065
"GSM3895992",11.12324116
"GSM3895993",11.56738023
"GSM3895994",11.27183941
"GSM3895995",10.82191758
"GSM3895996",11.44828328
"GSM3895997",11.40093548
"GSM3895998",11.83108479
"GSM3895999",11.83108479
"GSM3896000",10.36776227
"GSM3896001",10.49139481
"GSM3896002",10.59019223
"GSM3896003",11.362505
"GSM3896004",11.01317179
"GSM3896005",11.72075934
"GSM3896006",11.46091529
"GSM3896007",11.09974346
"GSM3896008",10.85163636
"GSM3896009",11.40093548
"GSM3896010",11.62199395
"GSM3896011",10.6877992
"GSM3896012",10.83937563
"GSM3896013",10.38257498
"GSM3896014",10.64333977
"GSM3896015",11.23052679
"GSM3896016",10.96270212
"GSM3896017",10.92529159
"GSM3896018",10.77013288
"GSM3896019",9.771614827
"GSM3896020",10.93729236
"GSM3896021",9.384875168
"GSM3896022",11.27875583
"GSM3896023",9.508039426
"GSM3896024",11.44622563
"GSM3896025",11.33274178
"GSM3896026",11.54095548
"GSM3896027",9.607911556
"GSM3896028",10.41801133
"GSM3896029",10.99459537
"GSM3896030",9.880909559
"GSM3896031",11.27720134
"GSM3896032",9.676216467
"GSM3896033",9.806220461
"GSM3896034",9.540069138
"GSM3896035",9.82368751
"GSM3896036",9.58137186
"GSM3896037",10.55732892
"GSM3896038",9.287146661
"GSM3896039",9.30493282
"GSM3896040",9.259695656
"GSM3896041",11.11099941
"GSM3896042",11.87640629
"GSM3896043",11.54531281
"GSM3896044",10.94287381
"GSM3896045",10.51679058
"GSM3896046",10.13593058
"GSM3896047",11.37063294
"GSM3896048",11.23052679
"GSM3896049",10.66573019
"GSM3896050",11.28658491
"GSM3896051",10.55617684
"GSM3896052",8.477531028
"GSM3896053",10.57756772
"GSM3896054",10.89664172
"GSM3896055",9.60121563
"GSM3896056",10.51138668
"GSM3896057",11.90592997
"GSM3896058",11.27372767
"GSM3896059",10.11512641
"GSM3896060",10.41498803
"GSM3896061",10.51351438
"GSM3896062",10.5470311
"GSM3896063",10.27562096
"GSM3896064",10.51039226
"GSM3896065",9.21022773
"GSM3896066",9.579754336
"GSM3896067",9.749622248
"GSM3896068",9.727277195
"GSM3896069",10.49977381
"GSM3896070",9.530447579
"GSM3896071",9.117584077
"GSM3896072",9.11410599
"GSM3896073",10.77542777
"GSM3896074",9.229962031
"GSM3896075",11.04367292
"GSM3896076",11.18094404
"GSM3896077",10.66818443
"GSM3896078",9.253943468
"GSM3896079",11.16560321
"GSM3896080",9.47136099
"GSM3896081",10.46696393
"GSM3896082",10.07220581
"GSM3896083",10.8030467
"GSM3896084",10.83399798
"GSM3896085",10.49329998
"GSM3896086",10.44774186
"GSM3896087",9.748925816
"GSM3896088",11.44828328
"GSM3896089",10.88504919
"GSM3896090",10.57391642
"GSM3896091",10.34206111
"GSM3896092",11.00110197
"GSM3896093",10.9702687
"GSM3896094",10.63280783
"GSM3896095",10.74151811
"GSM3896096",10.39839661
"GSM3896097",11.11099941
"GSM3896098",10.7561386
"GSM3896099",11.40093548
"GSM3896100",11.55652113
"GSM3896101",10.49448048
"GSM3896102",10.64499818
"GSM3896103",10.38257498
"GSM3896104",11.42352494
"GSM3896105",10.88070279
"GSM3896106",10.66818443
"GSM3896107",10.3876849
"GSM3896108",10.53514253
"GSM3896109",11.19821015
"GSM3896110",10.88504919
"GSM3896111",11.20876491
"GSM3896112",11.75436019
"GSM3896113",11.44034499
"GSM3896114",11.145071
"GSM3896115",11.30788398
"GSM3896116",10.01246643
"GSM3896117",10.4870799
"GSM3896118",10.83399798
"GSM3896119",9.471063724
"GSM3896120",10.36076509
"GSM3896121",10.72185368
"GSM3896122",10.74271507
"GSM3896123",10.1202465
"GSM3896124",9.897976969
"GSM3896125",11.34649988
"GSM3896126",11.13530188
"GSM3896127",11.06926929
"GSM3896128",10.79349551
"GSM3896129",10.24660046
"GSM3896130",11.64169003
"GSM3896131",10.44621801
"GSM3896132",11.15706682
"GSM3896133",11.12738454
"GSM3896134",11.69230217
"GSM3896135",11.19993754
"GSM3896136",11.145071
"GSM3896137",11.82242329
"GSM3896138",10.744448
"GSM3896139",10.76830597
"GSM3896140",11.70044844
"GSM3896141",11.66427315
"GSM3896142",10.81522072
"GSM3896143",11.16902385
"GSM3896144",11.96868321
"GSM3896145",11.92769647
