"vdac1_expression","sample_id"
92.61252,"GSM119615"
81.348404,"GSM119616"
200.81633,"GSM119617"
130.19652,"GSM119618"
703.91833,"GSM119619"
117.47796,"GSM119620"
346.32513,"GSM119621"
114.9754,"GSM119622"
144.97548,"GSM119623"
112.854034,"GSM119624"
95.396484,"GSM119625"
445.28378,"GSM119626"
152.11981,"GSM119627"
270.27817,"GSM119628"
76.71639,"GSM119629"
114.5756,"GSM119630"
43.205456,"GSM119631"
149.13853,"GSM119632"
105.9873,"GSM119633"
113.35727,"GSM119634"
265.13538,"GSM119635"
196.06693,"GSM119636"
175.99702,"GSM119637"
149.24336,"GSM119638"
48.677227,"GSM119639"
192.1819,"GSM119640"
174.38834,"GSM119641"
207.48514,"GSM119642"
83.89249,"GSM119643"
78.09384,"GSM119644"
14.419474,"GSM119645"
361.9793,"GSM119646"
118.56877,"GSM119647"
268.82468,"GSM119648"
395.9368,"GSM119649"
164.84099,"GSM119650"
125.87858,"GSM119651"
181.78557,"GSM119652"
86.52549,"GSM119653"
215.77829,"GSM119654"
113.41928,"GSM119655"
186.4653,"GSM119656"
162.96059,"GSM119657"
48.0275,"GSM119658"
178.12106,"GSM119659"
140.76474,"GSM119660"
14.57302,"GSM119661"
136.14003,"GSM119662"
98.02496,"GSM119663"
112.9719,"GSM119664"
121.927574,"GSM119665"
8.833231,"GSM119666"
216.73169,"GSM119667"
86.1988,"GSM119668"
78.848076,"GSM119669"
219.893,"GSM119670"
257.83722,"GSM119671"
659.3216,"GSM119672"
229.79955,"GSM119673"
440.64716,"GSM119674"
39.832184,"GSM119675"
155.24115,"GSM119676"
112.028206,"GSM119677"
72.7617,"GSM119678"
185.94624,"GSM119679"
170.25656,"GSM119680"
228.55492,"GSM119681"
210.4908,"GSM119682"
95.1527,"GSM119683"
325.21893,"GSM119684"
88.203156,"GSM119685"
120.63541,"GSM119686"
104.26908,"GSM119687"
262.0963,"GSM119688"
177.741,"GSM238763"
242.09,"GSM238790"
119.661,"GSM238791"
98.633,"GSM238792"
94.7719,"GSM238793"
118.631,"GSM238794"
155.941,"GSM238795"
127.041,"GSM238796"
148.792,"GSM238797"
105.344,"GSM238798"
173.299,"GSM238799"
134.485,"GSM238800"
130.37,"GSM238801"
69.5305,"GSM238802"
141.142,"GSM238803"
61.5425,"GSM238804"
69.2304,"GSM238805"
162.292,"GSM238806"
217.708,"GSM238807"
75.8565,"GSM238808"
106.398,"GSM238809"
126.606,"GSM238810"
205.154,"GSM238811"
133.75,"GSM238812"
251.487,"GSM238813"
122.386,"GSM238815"
160.872,"GSM238816"
195.872,"GSM238817"
136.533,"GSM238818"
104.28,"GSM238819"
286.086,"GSM238820"
214.936,"GSM238821"
147.886,"GSM238822"
27.7885,"GSM238823"
213.274,"GSM238824"
97.672,"GSM238825"
145.487,"GSM238826"
219.817,"GSM238827"
35.9024,"GSM238834"
103.586,"GSM238835"
185.379,"GSM238837"
201.861,"GSM238838"
23.6553,"GSM238839"
53.9127,"GSM238840"
26.6021,"GSM238841"
80.3618,"GSM238842"
71.2633,"GSM238843"
113.007,"GSM238844"
58.1942,"GSM238845"
40.7709,"GSM238846"
103.379,"GSM238847"
43.9539,"GSM238848"
114.119,"GSM238851"
169.87,"GSM238854"
145.34,"GSM238855"
92.5657,"GSM238856"
205.985,"GSM238857"
168.003,"GSM238858"
226.478,"GSM238860"
77.5273,"GSM238861"
82.1928,"GSM238862"
90.2682,"GSM238863"
83.2624,"GSM238864"
162.342,"GSM238865"
68.7514,"GSM238867"
56.7872,"GSM238868"
63.5352,"GSM238870"
73.2626,"GSM238871"
63.2869,"GSM238872"
95.8028,"GSM238873"
187.856,"GSM238874"
224.461,"GSM238875"
91.9064,"GSM238877"
414.232,"GSM238941"
149.807,"GSM238942"
366.598,"GSM238943"
390.849,"GSM238944"
89.2662,"GSM238945"
212.2,"GSM238946"
195.195,"GSM238947"
127.055,"GSM238948"
61.329,"GSM238949"
179.244,"GSM238951"
87.5786,"GSM238952"
270.883,"GSM238953"
208.27,"GSM238955"
101.742,"GSM238963"
