"sample_id","vdac1_expression"
"GSM225652",1230.3
"GSM225662",414.8
"GSM225664",764.8
"GSM225665",493.4
"GSM225666",1623.5
"GSM225667",1190.8
"GSM225668",1545.4
"GSM225669",1090.4
"GSM225670",517
"GSM225671",864.8
"GSM225672",662.7
"GSM225673",571.3
"GSM225674",855.5
"GSM225675",806.9
"GSM225676",591.3
"GSM225677",1133.9
"GSM225678",997.9
"GSM225679",1266.5
"GSM225680",1506
"GSM225681",1274.6
"GSM225682",889.8
"GSM225683",1071.8
"GSM225684",1014.5
"GSM225685",974.3
"GSM225686",1665.3
"GSM225687",1092.3
"GSM225688",731.4
"GSM225689",1559.2
"GSM225690",988.4
"GSM225691",1380.8
"GSM225692",837.8
"GSM225693",1365.3
"GSM225695",491.2
"GSM225696",456.1
"GSM225697",1196.9
"GSM225698",995.5
"GSM225699",954.5
"GSM225700",645.2
"GSM225701",890.8
"GSM225702",468.2
"GSM225703",1029.6
"GSM225704",557.3
"GSM225705",1173.2
"GSM225706",1227.7
"GSM225707",1104.9
"GSM225708",1166.8
"GSM225709",1061.7
"GSM225711",276.9
"GSM225713",715.2
"GSM225714",1219.8
"GSM225715",364.9
"GSM225717",1121.6
"GSM225718",1220.4
"GSM225719",1120.2
"GSM225720",291.7
"GSM225721",998.5
"GSM225722",1532.7
"GSM225723",1203.9
"GSM225724",992.7
"GSM225725",545.1
"GSM225726",783.6
"GSM225727",576.6
"GSM225728",833.9
"GSM225729",592.4
"GSM225730",741.8
"GSM225731",1050.4
"GSM225732",1424.5
"GSM225733",1243.2
"GSM225734",1032.4
"GSM225735",877
"GSM225736",1261.7
"GSM225737",682.4
"GSM225739",1536.3
"GSM225741",780
"GSM225742",1218.3
"GSM225743",894.5
"GSM225744",769.4
"GSM225745",952.3
"GSM225746",1506.3
"GSM225747",465.4
"GSM225748",1274.5
"GSM225749",1336.4
"GSM225751",725.2
"GSM225752",836.5
"GSM225753",532.8
"GSM225754",1198.2
"GSM225755",1304
"GSM225756",1093
"GSM225757",522.1
"GSM225758",1011.5
"GSM225759",1023.2
"GSM225760",1622.6
"GSM225761",993.2
"GSM225762",1375.6
"GSM225763",1072.1
"GSM225764",1452.7
"GSM225915",1274.3
"GSM225916",841.7
"GSM225917",1495.3
"GSM225918",896.5
"GSM225919",1505.3
"GSM225920",1024.6
"GSM225921",677.4
"GSM225922",1459.7
"GSM225923",927
"GSM225924",769.7
"GSM225925",974.5
"GSM225926",641.9
"GSM225927",549.8
"GSM225928",1657.2
"GSM225929",1226.4
"GSM225930",904.2
"GSM225931",665.9
"GSM225932",917.9
"GSM225933",735.6
"GSM225934",905.1
"GSM225935",1227.2
"GSM225936",1855.1
"GSM225937",899.4
"GSM225938",762
"GSM225939",1371
"GSM225940",663.7
"GSM225941",1123.7
"GSM225942",610.8
"GSM225943",1359
"GSM225944",983.2
"GSM225945",606.6
"GSM225946",815.4
"GSM225947",829
"GSM225948",832.1
"GSM225949",1872.7
"GSM225950",1603.8
"GSM225951",1359.7
"GSM225952",1128.2
"GSM225953",1210.7
"GSM225954",474.1
"GSM225955",1269.2
"GSM225956",1298.8
"GSM225957",1014.2
"GSM225958",1265.4
"GSM225959",1286
"GSM225961",1195.8
"GSM225962",1306.3
"GSM225963",426.5
"GSM225964",803.8
"GSM225965",1177.2
"GSM226034",1503.6
"GSM226035",586.6
"GSM226037",643.3
"GSM226038",755.9
"GSM226039",1020.5
"GSM226040",408.9
"GSM226041",557.7
"GSM226042",827.2
"GSM226044",877.2
"GSM226045",626.2
"GSM226046",425.1
"GSM226047",794.3
"GSM226048",1181.5
"GSM226049",1362.6
"GSM226050",1168.2
"GSM226051",727.1
"GSM226052",722.7
"GSM226053",1265.8
"GSM226055",1379.4
"GSM226056",599.8
"GSM226082",1560.5
"GSM226145",593.5
"GSM226146",1137.6
"GSM226147",1269.3
"GSM226148",1680.5
"GSM226149",1250.8
"GSM226150",1403.9
"GSM226151",1429.5
"GSM226154",1501.8
"GSM226155",1040.6
"GSM226156",381.3
"GSM226157",1044
"GSM226158",1043
"GSM226159",1775.6
"GSM226160",1016.7
"GSM226162",862.9
"GSM226163",633.5
"GSM226164",985.9
"GSM226165",927.4
"GSM226167",1183.7
"GSM226168",1701.7
"GSM388217",516.8
