"sample_id","vdac1_expression"
"GSM3577568",27.1527703577985
"GSM3577569",8.74997432104906
"GSM3577570",9.06790658884274
"GSM3577571",14.3668432194777
"GSM3577572",13.2912076542734
"GSM3577573",15.6455133840996
"GSM3577574",24.1720219070429
"GSM3577575",16.3485310794675
"GSM3577576",33.1720064985619
"GSM3577577",17.4241226645584
"GSM3577578",15.1581999453094
"GSM3577579",18.6908618763438
"GSM3577580",29.7270954032059
"GSM3577581",25.937892490359
"GSM3577582",15.1103689452241
"GSM3577583",23.220458835809
"GSM3577584",22.5663575909465
"GSM3577585",33.1167057989607
"GSM3577586",13.8945505920434
"GSM3577587",36.6354436112271
"GSM3577588",7.95537022306164
"GSM3577589",41.8515910600805
"GSM3577590",14.8659797824748
"GSM3577591",29.2766444595232
"GSM3577592",29.3197400266093
"GSM3577593",24.6799169143369
"GSM3577594",11.2524253433875
"GSM3577595",24.316779040272
"GSM3577596",22.115827421863
"GSM3577597",11.9471340989545
"GSM3577598",23.6495804357725
"GSM3577599",29.2721219700507
"GSM3577600",15.4073921316666
"GSM3577601",22.5590961751075
"GSM3577602",23.7071082371674
"GSM3577603",17.33453898185
"GSM3577604",33.1672385506176
"GSM3577605",19.3851430655501
"GSM3577606",21.51481660638
"GSM3577607",20.5544518610019
"GSM3577608",21.6165157103751
"GSM3577609",22.5182558564359
"GSM3577610",34.0574620546552
"GSM3577611",11.2648076035053
"GSM3577612",17.1319209889142
"GSM3577613",31.1145118460198
"GSM3577614",22.688249823362
"GSM3577615",15.6933582432223
"GSM3577616",12.8261540467888
"GSM3577617",15.3688630085415
"GSM3577618",35.4448951797837
"GSM3577619",19.0656811795891
"GSM3577620",32.0792415829935
"GSM3577621",22.9198271728498
"GSM3577622",26.9512539651632
"GSM3577623",20.3833346788068
"GSM3577624",27.7522743878873
"GSM3577625",14.1685327017093
"GSM3577626",29.0853911338471
"GSM3577627",42.2991411065257
"GSM3577628",29.2701934950799
"GSM3577629",34.3532171924467
"GSM3577630",16.4417805266154
"GSM3577631",11.4033147250835
"GSM3577632",26.3180327799399
"GSM3577633",20.6922841841534
"GSM3577634",44.5612526715638
