"sample_id","vdac1_expression"
"GSM726083",3565.36683
"GSM726084",4494.031198
"GSM726085",1825.9388
"GSM726086",4406.53539
"GSM726087",2306.708984
"GSM726088",4449.569176
"GSM726089",2915.844025
"GSM726090",2156.999116
"GSM726091",1935.693294
"GSM726092",1410.581052
"GSM726093",4114.984551
"GSM726094",4240.880586
"GSM726095",4582.639379
"GSM726096",4334.574427
"GSM726097",2248.889792
"GSM726098",2534.848017
"GSM726099",2537.022054
"GSM726100",2278.461337
"GSM726101",2667.211219
"GSM726102",2875.99654
"GSM726103",3434.886119
"GSM726104",3809.59227
"GSM726105",3226.294933
"GSM726106",1525.649022
"GSM726107",2195.105156
"GSM726108",2047.616665
"GSM726109",2316.32376
"GSM726110",2609.670316
"GSM726111",2897.366224
"GSM726112",1895.173148
"GSM726113",1380.13566
"GSM726114",2127.053092
"GSM726115",2936.333819
"GSM726116",3325.813694
"GSM726117",4446.286263
"GSM726118",4723.396573
"GSM726119",2636.995756
"GSM726120",2764.581221
"GSM726121",1572.780475
"GSM726122",2647.122079
"GSM726123",2007.063467
"GSM726124",3496.89661
"GSM726125",1774.769292
"GSM726126",2193.754781
"GSM726127",2288.610767
"GSM726128",2738.600543
"GSM726129",2210.884922
"GSM726130",2656.162156
"GSM726131",5135.829921
"GSM726132",5059.105683
"GSM726133",1617.766632
"GSM726134",3700.1129
"GSM726135",2950.08943
"GSM726136",2461.232889
"GSM726137",3161.874956
"GSM726138",1423.890717
"GSM726139",2660.274337
"GSM726140",1294.856443
"GSM726141",1757.612673
"GSM726142",3704.309298
"GSM726143",2979.261162
"GSM726144",2652.519011
"GSM726145",2834.147846
