"sample_id","vdac1_expression"
"9344744094_A",308.4
"9344744094_B",292.2
"9344744094_C",292.8
"9344744094_D",371.8
"9344744094_E",142.5
"9344744094_F",176.1
"9344744094_G",198.3
"9344744094_I",260.9
"9344744094_K",223.2
"9344744094_L",229.3
"9344744102_A",158.2
"9344744102_B",224.7
"9344744102_C",438.4
"9344744102_D",280.6
"9344744102_G",308.9
"9344744102_I",235.4
"9344744102_J",407.4
"9344744102_K",167.4
"9345344002_A",296.9
"9345344002_B",275.3
"9345344002_C",314.5
"9345344002_E",276
"9345344002_F",155.5
"9345344002_G",253.7
"9345344002_H",221.3
"9345344002_I",184.8
"9345344002_J",140.8
"9345344002_K",361.2
"9345344002_L",320.8
"9345344009_A",235
"9345344009_B",265
"9345344009_C",164.8
"9345344009_D",246.2
"9345344009_E",288.5
"9345344009_F",202.3
"9345344009_H",193
"9345344009_I",141.6
"9345344009_J",204.6
"9345344009_K",475.9
"9345344009_L",353
"9345344014_A",157.1
"9345344014_B",200.8
"9345344014_C",287.3
"9345344014_D",339.7
"9345344014_E",236
"9345344014_G",362.1
"9345344014_I",409.8
"9345344014_K",193.2
"9345344014_L",315.7
"9345344027_B",376.6
"9345344027_C",161.1
"9345344027_D",192.1
"9345344027_E",203.4
"9345344027_F",301.8
"9345344027_G",248.5
"9345344027_H",281.6
"9345344027_I",325.4
"9345344027_K",304.6
"9345344027_L",267.5
"9345344031_A",167.1
"9345344031_B",147.6
"9345344031_C",257.5
"9345344031_D",242.6
"9345344031_E",168.5
"9345344031_G",142.4
"9345344031_H",231.4
"9345344031_I",186.5
"9345344031_K",125.5
"9345344031_L",258.9
"9345725010_A",284.2
"9345725010_B",240.6
"9345725010_D",218.9
"9345725010_E",118.8
"9345725010_F",251
"9345725010_G",109.7
"9345725010_H",150.6
"9345725010_I",100.2
"9345725010_J",312
"9345725010_K",550.2
"9345725010_L",255.5
"9345725025_A",215.9
"9345725025_B",347.3
"9345725025_D",277
"9345725025_E",196.5
"9345725025_F",135.2
"9345725025_G",142
"9345725025_H",170
"9345725025_I",239.3
"9345725025_J",218.7
"9345725025_K",245.3
"9345725025_L",223.9
"9371242065_A",234.7
"9371242065_B",143
"9371242065_C",313.1
"9371242065_D",185.9
"9371242065_E",285.2
"9371242065_F",150
"9371242065_G",246.5
"9371242065_H",237.1
"9371242065_I",162.3
"9371242065_J",172.2
"9371242065_K",162.9
"9371242066_A",267.3
"9371242066_B",230.9
"9371242066_C",196
"9371242066_D",357.9
"9371242066_E",149.3
"9371242066_F",243.7
"9371242066_G",165.7
"9371242066_I",269.2
"9371242066_J",248.4
"9371242066_K",242.5
"9371242066_L",156.6
"9371242073_B",296.5
"9371242073_C",161.2
"9371242073_D",189
"9371242073_E",250.3
"9371242073_F",203.2
"9371242073_G",213.8
"9371242073_H",194
"9371242073_I",241.3
"9371242073_J",299.7
"9371242073_K",146.6
"9371242073_L",320.9
"9371242082_A",248.3
"9371242082_B",139
"9371242082_E",314.6
"9371242082_G",289.8
"9371242082_H",283.5
"9371242082_I",166.3
"9371242082_J",344
"9371242082_K",218.1
"9371242082_L",316.4
