"sex","estimate","se","pval","ci_lb","ci_ub","I2"
"female",-0.45557187652994,0.111255326032266,4.2247450026671e-05,-0.673628308641443,-0.237515444418437,78.2800188824877
"male",-0.304968524313457,0.0727542678988796,2.76797147106547e-05,-0.44756426911684,-0.162372779510074,55.6630956016361
