"sample_id","vdac1_expression"
"GSM907792",8.200825
"GSM907793",8.179375
"GSM907794",8.36078
"GSM907795",8.15634
"GSM907796",8.22444
"GSM907797",7.80219
"GSM907798",7.980085
"GSM907799",8.31183
"GSM907800",8.34977
"GSM907801",8.251365
"GSM907802",8.30277
"GSM907803",8.25196
"GSM907804",8.59434
"GSM907805",8.439115
"GSM907806",8.63427
"GSM907807",8.336035
"GSM907808",8.33073
"GSM907809",8.370885
"GSM907810",8.42017
"GSM907811",8.56729
"GSM907812",8.09121
"GSM907813",8.572775
"GSM907814",8.62991
"GSM907815",8.56616
"GSM907816",8.48079
"GSM907817",8.50028
"GSM907818",8.30733
"GSM907819",8.387625
"GSM907820",8.60315
"GSM907821",8.490285
"GSM907822",8.613155
"GSM907823",8.69104
"GSM907824",8.600175
"GSM907825",8.64815
"GSM907826",9.24635
"GSM907827",8.74001
"GSM907828",9.02609
"GSM907829",8.61051
"GSM907830",8.88344
"GSM907831",8.85703
"GSM907832",8.952575
"GSM907833",9.04526
"GSM907834",8.81921
"GSM907835",9.08435
"GSM907836",9.206395
"GSM907837",9.380165
"GSM907838",9.323965
"GSM907839",9.1064
"GSM907840",9.340375
"GSM907841",9.04764
"GSM907842",9.023705
"GSM907843",9.100325
"GSM907844",8.950015
"GSM907845",8.70924
"GSM907846",8.79269
"GSM907847",9.21869
"GSM907848",9.01834
"GSM907849",8.83131
"GSM907850",9.25527
"GSM907851",9.032585
"GSM907852",9.102055
"GSM907853",8.896115
"GSM907854",8.74971
"GSM907855",8.53675
"GSM907856",8.378
"GSM907857",8.087335
"GSM907858",8.797075
"GSM907859",8.80294
"GSM907860",8.85275
"GSM907861",8.9489
"GSM907862",9.28456
"GSM907863",9.18523
"GSM907864",8.897565
"GSM907865",9.1993
"GSM907866",8.85734
"GSM907867",8.67738
"GSM907868",8.68187
"GSM907869",8.592265
"GSM907870",9.050425
"GSM4764672",8.119015
