"dataset_id","interaction_log2FC","SE","p_value","n_samples"
"GSE5281",0.243025662677492,0.338605453735866,NA,161
"GSE109887",-0.353715510730972,0.281205952389387,NA,78
"GSE132903",-0.250282842951841,0.1797574672155,NA,195
"GSE29378",0.152514521263412,0.260373591669885,NA,63
"GSE36980",-0.191898550972932,0.152648866683081,NA,80
"GSE48350",-0.378422607373387,0.179385534991731,NA,253
