cell_type,n_regions,pooled_rho,ci_lo,ci_hi,pval,I2,p_adj
Lamp5,2,-0.309770154470673,-0.630563154097747,0.101418284989132,0.136916644319927,68.6142829456676,0.444099400551202
Astrocyte,2,-0.295119969105588,-0.490539409230328,-0.0714386624403283,0.0103788781501649,0,0.176440928552803
OPC,2,-0.252794118595746,-0.455010050522787,-0.0257847888153164,0.0294597834165918,0,0.25040815904103
Pax6,2,-0.225141723156553,-0.444625611552779,0.0198472360007036,0.0712836564226788,0,0.403940719728513
Pvalb,2,-0.200000424677545,-0.462939577059665,0.0952902522475883,0.182864459050495,37.54929306357,0.444099400551202
Lamp5 Lhx6,2,-0.182388004935652,-0.478011971015887,0.150352195858856,0.281882136909357,48.5137447890826,0.464118756349034
Sst,2,-0.176242147793016,-0.428191034102063,0.101129194171723,0.211821749733252,27.8820931464901,0.450121218183161
Immune,2,-0.17313103059924,-0.386345843217855,0.0576482886013437,0.140570008779221,0,0.444099400551202
Vip,2,-0.158819188495299,-0.373754387655521,0.0723034423911358,0.177125277557706,0,0.444099400551202
L6b,2,-0.141032956333545,-0.370421540117134,0.104569246850199,0.259773741447561,0,0.464118756349034
L6 IT,2,-0.125867659878406,-0.350476129142609,0.112431597133138,0.300312136461139,0,0.464118756349034
L5 IT,2,-0.102651588763567,-0.332928353232921,0.139179890115321,0.406239758077447,0,0.57550632394305
L6 CT,2,-0.097142605685989,-0.333148431912118,0.150317988063573,0.442890446056445,0,0.579164429458428
Oligodendrocyte,2,-0.0781779097462161,-0.301294460010979,0.153054935424004,0.509198807415462,0,0.618312837575919
Chandelier,2,-0.0536431302929773,-0.297454724529152,0.196736708881587,0.677470627491692,0,0.719812541709922
Sncg,2,0.0280372912077697,-0.223294604270834,0.275873599690699,0.829443794024568,0,0.829443794024568
VLMC & Perivascular,2,0.134386538036293,-0.317513301415103,0.536542728399583,0.567993718093607,62.4545106643895,0.643726213839421
