region,n_AD,n_Control,log2FC,SE,p
HIP,28,4,-0.0871974051738453,0.0797542125192143,0.313933779379936
LEC,23,4,-0.345935229220408,0.193844676646104,0.153730564546794
ITG,31,4,-0.158503372365205,0.125035130416728,0.261424965836513
