"dataset_id","interaction_log2FC","SE","z","p_value","n_samples"
"GSE5281",0.243025662677492,0.338605453735866,0.717725187223557,0.472926749940156,161
"GSE109887",-0.353715510730972,0.281205952389387,-1.25785214617783,0.208445232825259,78
"GSE132903",-0.250282842951841,0.1797574672155,-1.39233627859138,0.163820590580403,195
"GSE29378",0.152514521263412,0.260373591669885,0.585752649818564,0.5580417474707,63
"GSE36980",-0.191898550972932,0.152648866683081,-1.25712398095518,0.208708744723566,80
"GSE48350",-0.378422607373387,0.179385534991731,-2.1095491751374,0.0348972060745147,253
"GSE125583",-0.1399144,0.1379475,-1.014,0.3104596,288
