"gene","module"
"100129722","greenyellow"
"100129726","brown"
"100129781","grey"
"100129792","black"
"100129794","grey"
"100129800","grey"
"100129827","grey"
"100129836","grey"
"100129842","turquoise"
"100129845","grey"
"100129858","grey"
"100129917","brown"
"100129924","grey"
"100129931","midnightblue"
"100129935","grey"
"100129940","grey"
"100129961","grey"
"100129973","green"
"10013","pink"
"100130015","brown"
"100130017","grey"
"100130075","grey"
"100130083","grey"
"100130086","grey"
"100130093","greenyellow"
"100130148","grey"
"100130155","blue"
"100130197","turquoise"
"100130207","grey"
"100130231","grey"
"100130238","brown"
"100130249","grey"
"100130256","grey"
"100130264","grey"
"100130274","grey"
"100130275","grey"
"100130285","grey"
"100130298","grey"
"100130301","grey"
"100130302","grey"
"100130311","yellow"
"100130331","grey"
"100130342","grey"
"100130348","green"
"100130357","grey"
"100130361","grey"
"100130370","grey"
"100130373","grey"
"100130386","grey"
"100130417","grey"
"100130418","grey"
"100130449","grey"
"100130451","grey"
"100130452","grey"
"100130458","grey"
"100130460","grey"
"100130476","grey"
"100130480","grey"
"100130502","grey"
"100130519","black"
"100130520","grey"
"100130522","tan"
"100130539","grey"
"100130548","turquoise"
"100130557","brown"
"100130581","grey"
"100130587","brown"
"100130613","grey"
"100130673","grey"
"100130691","grey"
"100130698","grey"
"100130700","grey"
"100130705","grey"
"100130717","green"
"100130733","grey"
"100130742","grey"
"100130744","grey"
"100130771","blue"
"100130776","yellow"
"100130827","grey"
"100130855","turquoise"
"100130872","brown"
"100130876","grey"
"100130880","grey"
"100130887","grey"
"100130889","grey"
"100130890","grey"
"100130894","magenta"
"100130899","grey"
"100130933","pink"
"100130934","grey"
"100130935","grey"
"100130938","grey"
"100130950","grey"
"100130954","grey"
"100130958","turquoise"
"100130964","grey"
"100130967","grey"
"100130987","grey"
"100130988","grey"
"100130992","grey"
"100131017","green"
"100131047","grey"
"100131060","grey"
"100131067","grey"
"100131089","blue"
"100131094","grey"
"100131096","pink"
"100131107","grey"
"100131117","grey"
"100131137","grey"
"100131138","grey"
"100131176","grey"
"100131187","brown"
"100131193","grey"
"100131205","grey"
"100131208","blue"
"100131211","grey"
"100131213","grey"
"100131234","grey"
"100131244","blue"
"100131257","grey"
"100131270","grey"
"100131289","yellow"
"100131303","grey"
"100131315","grey"
"100131320","grey"
"100131347","grey"
"100131366","grey"
"100131372","grey"
"100131378","grey"
"100131390","blue"
"100131395","blue"
"100131434","grey"
"100131439","grey"
"100131454","grey"
"100131472","grey"
"100131496","grey"
