"dataset_id","n_ad","n_ctl","log2FC","SE"
"GSE109887",46,32,-0.6514357578033,0.140446133604847
"GSE125583",219,70,-0.528299684727227,0.0638976573096108
"GSE132903",97,98,-0.648648570153586,0.0920893725517661
"GSE15222",176,187,-0.4119194079809,0.0597296380083879
"GSE29378",31,32,-0.0715424730351781,0.128294892632041
"GSE36980",33,47,-0.295071821405545,0.0776378112846953
"GSE48350",80,173,-0.305370841407494,0.0703245214603063
"GSE5281",87,74,-0.195680279615656,0.156727875356021
