"test_dataset","n_test","accuracy","sensitivity","specificity"
"GSE109887",78,0.692307692307692,0.652173913043478,0.75
"GSE125583",289,0.626297577854671,0.552511415525114,0.857142857142857
"GSE132903",195,0.717948717948718,0.731958762886598,0.704081632653061
"GSE15222",363,0.661157024793388,0.710227272727273,0.614973262032086
"GSE29378",63,0.53968253968254,0.612903225806452,0.46875
"GSE36980",80,0.6,0.696969696969697,0.531914893617021
"GSE48350",253,0.557312252964427,0.8375,0.427745664739884
"GSE5281",161,0.546583850931677,0.563218390804598,0.527027027027027
