"dataset_id","brain_region","log2FC","SE","n_samples"
"GSE5281","other",-0.19578907451522,0.154814243962674,161
"GSE109887","temporal cortex",-0.651435757803302,0.141742794125315,78
"GSE132903","temporal cortex",-0.648648570153585,0.0916512843429693,195
"GSE29378","other",-0.0715406592565832,0.125883990052222,63
"GSE36980","frontal cortex",-0.187628222222221,0.0600576436983091,33
"GSE36980","temporal cortex",-0.153808105263159,0.0710062270109516,29
"GSE36980","hippocampus",-0.226714,0.12008289160242,18
"GSE48350","hippocampus",-0.365024252598957,0.154190764848427,62
"GSE125583","fusiform gyrus",-0.501476053933569,0.0688078591075626,288
