"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","18/948","65/9423",0.276923076923077,2.75258033106134,4.74186249860641,4.83806214558747e-05,0.00103111199477833,0.000703428772483442,"10000/207/208/23236/2776/2796/3708/3760/3763/3845/5291/5295/5331/5332/5594/5604/7224/776",18
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","26/948","115/9423",0.226086956521739,2.247275729224,4.50079331253166,5.67157639768784e-05,0.00113765150094797,0.000776110454420441,"10000/1129/1132/207/208/23236/2771/2776/3708/3760/3763/3786/3845/5291/5295/5331/5332/54331/5567/5594/5604/56479/776/814/817/8973",26
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","26/948","116/9423",0.224137931034483,2.22790266259275,4.45034770769894,6.62586129411277e-05,0.00125523261182914,0.000856324763742059,"22941/23236/246213/2771/2776/283748/2891/2892/2903/2904/2911/2915/2917/2918/3708/3760/5331/5332/54331/5530/5567/5594/57084/776/81539/9456",26
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","21/948","87/9423",0.241379310344828,2.3992797904845,4.38520228488606,0.000107142377868368,0.00182782285959378,0.00124694814622696,"10000/1630/1643/207/208/2932/3845/387/4436/5291/5295/54205/5594/5599/5602/5604/578/5900/595/673/842",21
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","45/948","254/9423",0.177165354330709,1.76100119605302,4.11194291156321,0.000107203686779694,0.00182782285959378,0.00124694814622696,"1129/1812/2250/2255/23236/2776/2903/2904/291/2911/2915/3274/3356/3358/3360/3363/340156/3707/3708/4233/4772/4775/488/490/493/5256/5331/5332/53373/5530/5567/5737/57620/6262/6546/6915/7416/7417/7423/776/7942/80310/814/817/84876",45
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","31/948","154/9423",0.201298701298701,2.00088361006083,4.18825737642711,0.000120741537780735,0.00195516769481334,0.00133382330777512,"23236/2771/2776/283748/2977/2982/2983/340156/3708/3760/3763/3845/387/4772/4775/5331/5332/5530/5563/5567/5594/5598/5604/595/6262/776/781/785/814/817/9475",31
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","60/948","371/9423",0.161725067385445,1.6075266982838,3.99287684794943,0.00012613985127828,0.00195516769481334,0.00133382330777512,"10857/10886/1129/1132/1142/122042/1268/151/1812/2554/2557/2559/2561/2567/2690/2742/2743/2796/2798/2859/2891/2892/2903/2904/2911/2915/2917/2918/3274/3350/3356/3358/3360/3363/4142/4828/4886/4887/4889/4985/4988/5340/57053/5737/5745/5746/59350/6751/6754/6915/706/7068/7442/8001/84109/84539/8620/8973/9294/9340",60
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","39/948","212/9423",0.183962264150943,1.82856161929783,4.08079911649459,0.000134803961951985,0.00199861526198378,0.00136346341379354,"10000/10411/1268/1945/207/208/2250/2255/23236/260425/27040/2771/2776/2903/2904/3479/3815/3845/387/4233/4254/5217/5228/5291/5295/5331/5332/5584/5594/5604/5900/6237/6494/673/7408/7423/80310/9564/998",39
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","30/948","149/9423",0.201342281879195,2.0013167955144,4.12037700164913,0.000153903296134763,0.00216643116880185,0.00147794810404448,"10000/10411/1607/160851/207/208/23236/26052/2768/283748/2911/2915/2917/2918/3815/3845/387/4254/5291/5295/5331/5332/5594/5604/5737/5900/6237/80310/8395/9162",30
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","26/948","122/9423",0.213114754098361,2.11833367918655,4.15807542038389,0.000160279797135245,0.00216643116880185,0.00147794810404448,"10000/10125/10298/207/208/27040/2932/3845/387/4772/4775/5291/5295/5515/5521/5527/5529/5530/5594/5599/5602/5604/57144/5970/7535/998",26
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","19/948","77/9423",0.246753246753247,2.45269603813908,4.2806832323629,0.000165182435157912,0.00216643116880185,0.00147794810404448,"10000/1643/1871/207/208/3845/5291/5295/5594/5599/5602/5604/578/5900/595/5970/673/842/998",19
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","21/948","90/9423",0.233333333333333,2.31930379746835,4.20592282496028,0.000179322670901683,0.00226477891768422,0.00154504133603399,"1812/23236/2771/2776/2911/2915/2977/2982/2983/3356/3358/3708/3845/5331/5332/5567/5594/5598/5604/57369/80310",21
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","31/948","158/9423",0.19620253164557,1.95022832879346,4.02846570304456,0.000196844725443933,0.00233029266535058,0.0015897350796187,"10000/10325/153129/1856/1978/207/208/27330/2932/3479/3845/387/51384/51719/523/528/5291/5295/54541/5563/5594/5604/64900/6520/673/7471/7478/79726/7976/81929/8649",31
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","19/948","78/9423",0.243589743589744,2.42125121713729,4.21535702160109,0.000198177382097263,0.00233029266535058,0.0015897350796187,"23007/23236/3612/3631/3633/3707/51477/5288/5291/5297/5331/5332/8395/8776/8821/8867/9107/9108/9562",19
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","18/948","73/9423",0.246575342465753,2.45092769204092,4.16204967611646,0.00024595788809791,0.00279572132804624,0.0019072523954259,"10000/1643/1871/207/208/2250/2255/3479/3845/4233/5291/5295/5594/5604/578/595/673/80310",18
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","40/948","226/9423",0.176991150442478,1.75926963145514,3.86396355281931,0.000260312867308771,0.00283482173206813,0.00193392684916517,"10000/10411/1129/1812/207/208/2771/2891/2892/2903/2904/3350/3360/3776/387/4772/481/488/4886/490/493/5144/5291/5295/5567/5594/5599/5602/5604/5970/6237/6262/627/673/6751/776/814/817/84876/9475",40
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","20/948","86/9423",0.232558139534884,2.31159846923756,4.08650761493877,0.000266024326762992,0.00283482173206813,0.00193392684916517,"10000/10298/10718/1978/207/208/2932/3845/5291/5295/5594/5599/5602/5604/57144/6416/673/6776/685/817",20
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","17/948","68/9423",0.25,2.48496835443038,4.11013062296673,0.000304227579801633,0.00314368499128355,0.00214463461359365,"10000/1050/1978/207/208/2322/3728/3815/3845/5291/5295/5594/5604/595/5970/673/6776",17
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","30/948","156/9423",0.192307692307692,1.9115141187926,3.83938782034538,0.000356153153797997,0.00350825151948781,0.0023933433733811,"10000/10379/1871/207/208/24146/2932/317/3434/3452/3665/3845/5291/5295/54205/5515/5521/5594/5604/578/595/5970/673/7122/7297/7529/7532/7534/842/8717",30
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","29/948","149/9423",0.194630872483221,1.93460623566392,3.8458658201665,0.000360084466809599,0.00350825151948781,0.0023933433733811,"1268/22999/23236/246213/2554/2557/2559/2561/2567/2771/2776/2891/2892/2911/2915/3708/3760/3763/4698/4719/5331/5332/54331/5567/5594/5599/5602/57084/776",29
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","25/948","122/9423",0.204918032786885,2.03685930691015,3.85514563202221,0.000401794921690197,0.00380589078600992,0.00259639408460624,"10000/207/208/23236/2690/2771/2776/2932/3479/3708/3845/5291/5295/5331/5332/5567/5594/5599/5602/5604/6416/6751/6776/776/9564",25
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","12/948","41/9423",0.292682926829268,2.90923124421118,4.09740234954857,0.000500232312685895,0.00461024915205109,0.00314513061461118,"246213/2554/2557/2559/2561/2567/2891/2892/2903/2904/57084/8973",12
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","21/948","97/9423",0.216494845360825,2.15193135847579,3.81391164538279,0.000533173234668325,0.00478452823741839,0.00326402451140443,"23236/2771/2776/2891/2892/2903/2904/2977/2982/2983/3708/3760/3763/5331/5332/54331/5567/5594/6262/776/817",21
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","15/948","59/9423",0.254237288135593,2.52708646213259,3.93518175109103,0.00055949297504722,0.00489197703823338,0.00333732651782552,"10000/1643/207/208/2932/3611/3845/5291/5295/5594/5604/578/595/673/842",15
